name,city,country,iata,icao,latitude,longitude,altitude,timezone,timezone_dst
General Mariano Matamoros Airport,Cuernavaca,Mexico,CVJ,MMCB,18.835,-99.261,4277,America/Mexico_City,S
Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,ACN,MMCC,29.333,-101.099,1410,America/Mexico_City,S
Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,CME,MMCE,18.654,-91.799,10,America/Mexico_City,S
Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico,NCG,MMCG,30.397,-107.875,4850,America/Mazatlan,S
Chilpancingo Airport,Chilpancingo,Mexico,,MMCH,17.574,-99.515,4199,America/Mexico_City,S
Bachigualato Federal International Airport,Culiacan,Mexico,CUL,MMCL,24.764,-107.475,108,America/Mazatlan,S
Chetumal International Airport,Chetumal,Mexico,CTM,MMCM,18.505,-88.327,39,America/Cancun,S
Ciudad Obregón International Airport,Ciudad Obregon,Mexico,CEN,MMCN,27.393,-109.833,243,America/Hermosillo,S
Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico,CPE,MMCP,19.817,-90.500,34,America/Mexico_City,S
Abraham González International Airport,Ciudad Juarez,Mexico,CJS,MMCS,31.636,-106.429,3904,America/Mazatlan,S
General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,CUU,MMCU,28.703,-105.965,4462,America/Mazatlan,S
General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM,MMCV,23.703,-98.956,761,America/Mexico_City,S
Cozumel International Airport,Cozumel,Mexico,CZM,MMCZ,20.522,-86.926,15,America/Cancun,S
General Guadalupe Victoria International Airport,Durango,Mexico,DGO,MMDO,24.124,-104.528,6104,America/Mexico_City,S
Amado Nervo National Airport,Tepic,Mexico,TPQ,MMEP,21.420,-104.843,3020,America/Mazatlan,S
Ensenada International Airport,Ensenada,Mexico,ESE,MMES,31.795,-116.603,66,America/Tijuana,S
Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,MMGL,20.522,-103.311,5016,America/Mexico_City,S
General José María Yáñez International Airport,Guaymas,Mexico,GYM,MMGM,27.969,-110.925,59,America/Hermosillo,S
Tehuacan Airport,Tehuacan,Mexico,TCN,MMHC,18.497,-97.420,5509,America/Mexico_City,S
General Ignacio P. Garcia International Airport,Hermosillo,Mexico,HMO,MMHO,29.096,-111.048,627,America/Hermosillo,S
Licenciado Miguel de la Madrid Airport,Colima,Mexico,CLQ,MMIA,19.277,-103.577,2467,America/Mexico_City,S
Isla Mujeres Airport,Isla Mujeres,Mexico,ISJ,MMIM,21.245,-86.740,7,America/Cancun,S
Plan De Guadalupe International Airport,Saltillo,Mexico,SLW,MMIO,25.549,-100.929,4778,America/Mexico_City,S
Ixtepec Airport,Iztepec,Mexico,IZT,MMIT,16.449,-95.094,164,America/Mexico_City,S
Lázaro Cárdenas Airport,Lazard Cardenas,Mexico,LZC,MMLC,18.002,-102.221,39,America/Mexico_City,S
Valle del Fuerte International Airport,Los Mochis,Mexico,LMM,MMLM,25.685,-109.081,16,America/Mazatlan,S
Del Bajío International Airport,Del Bajio,Mexico,BJX,MMLO,20.994,-101.481,5956,America/Mexico_City,S
Manuel Márquez de León International Airport,La Paz,Mexico,LAP,MMLP,24.073,-110.362,69,America/Mazatlan,S
Loreto International Airport,Loreto,Mexico,LTO,MMLT,25.989,-111.348,34,America/Mazatlan,S
General Servando Canales International Airport,Matamoros,Mexico,MAM,MMMA,25.770,-97.525,25,America/Mexico_City,S
Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID,MMMD,20.937,-89.658,38,America/Mexico_City,S
General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL,MMML,32.631,-115.242,74,America/Tijuana,S
General Francisco J. Mujica International Airport,Morelia,Mexico,MLM,MMMM,19.850,-101.025,6033,America/Mexico_City,S
Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT,MMMT,18.103,-94.581,36,America/Mexico_City,S
Monclova International Airport,Monclova,Mexico,LOV,MMMV,26.956,-101.470,1864,America/Mexico_City,S
Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.436,-99.072,7316,America/Mexico_City,S
General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,25.778,-100.107,1278,America/Mexico_City,S
General Rafael Buelna International Airport,Mazatlan,Mexico,MZT,MMMZ,23.161,-106.266,38,America/Mazatlan,S
Nogales International Airport,Nogales,Mexico,NOG,MMNG,31.226,-110.976,3990,America/Hermosillo,S
Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD,MMNL,27.444,-99.571,484,America/Mexico_City,S
Xoxocotlán International Airport,Oaxaca,Mexico,OAX,MMOX,17.000,-96.727,4989,America/Mexico_City,S
El Tajín National Airport,Poza Rico,Mexico,PAZ,MMPA,20.603,-97.461,497,America/Mexico_City,S
Hermanos Serdán International Airport,Puebla,Mexico,PBC,MMPB,19.158,-98.371,7361,America/Mexico_City,S
Ingeniero Juan Guillermo Villasana Airport,Pachuca,Mexico,,MMPC,20.077,-98.783,7600,America/Mexico_City,S
Mar de Cortés International Airport,Punta Penasco,Mexico,PPE,MMPE,31.352,-113.305,71,America/Hermosillo,S
Piedras Negras International Airport,Piedras Negras,Mexico,PDS,MMPG,28.627,-100.535,901,America/Mexico_City,S
Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,UPN,MMPN,19.397,-102.039,5258,America/Mexico_City,S
Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.680,-105.254,23,America/Mexico_City,S
Puerto Escondido International Airport,Puerto Escondido,Mexico,PXM,MMPS,15.877,-97.089,294,America/Mexico_City,S
Querétaro Intercontinental Airport,Queretaro,Mexico,QRO,MMQT,20.617,-100.186,6296,America/Mexico_City,S
General Lucio Blanco International Airport,Reynosa,Mexico,REX,MMRX,26.009,-98.229,139,America/Mexico_City,S
Los Cabos International Airport,San Jose Del Cabo,Mexico,SJD,MMSD,23.152,-109.721,374,America/Mazatlan,S
San Felipe International Airport,San Filipe,Mexico,SFH,MMSF,30.930,-114.809,148,America/Tijuana,S
Ponciano Arriaga International Airport,San Luis Potosi,Mexico,SLP,MMSP,22.254,-100.931,6035,America/Mexico_City,S
Tlaxcala Airport,Tlaxcala,Mexico,,MMTA,19.538,-98.173,8229,America/Mexico_City,S
Terán Air Base,Tuxtla Gutierrez,Mexico,,MMTB,16.740,-93.173,1909,America/Mexico_City,S
Francisco Sarabia International Airport,Torreon,Mexico,TRC,MMTC,25.568,-103.411,3688,America/Mexico_City,S
Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,TGZ,MMTG,16.564,-93.022,1499,America/Mexico_City,S
General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.541,-116.970,489,America/Tijuana,S
General Francisco Javier Mina International Airport,Tampico,Mexico,TAM,MMTM,22.296,-97.866,80,America/Mexico_City,S
Tamuin Airport,Tamuin,Mexico,TSL,MMTN,22.038,-98.807,164,America/Mexico_City,S
Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,TLC,MMTO,19.337,-99.566,8466,America/Mexico_City,S
Tapachula International Airport,Tapachula,Mexico,TAP,MMTP,14.794,-92.370,97,America/Mexico_City,S
Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.037,-86.877,22,America/Cancun,S
Carlos Rovirosa Pérez International Airport,Villahermosa,Mexico,VSA,MMVA,17.997,-92.817,46,America/Mexico_City,S
General Heriberto Jara International Airport,Vera Cruz,Mexico,VER,MMVR,19.146,-96.187,90,America/Mexico_City,S
General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,ZCL,MMZC,22.897,-102.687,7141,America/Mexico_City,S
Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico,ZIH,MMZH,17.602,-101.461,26,America/Mexico_City,S
Zamora Airport,Zamora,Mexico,ZMM,MMZM,20.045,-102.276,5141,America/Mexico_City,S
Playa De Oro International Airport,Manzanillo,Mexico,ZLO,MMZO,19.145,-104.559,30,America/Mexico_City,S
Zapopan Airport,Zapopan,Mexico,,MMZP,20.748,-103.462,5333,America/Mexico_City,S
Bluefields Airport,Bluefields,Nicaragua,BEF,MNBL,11.991,-83.774,20,America/Managua,U
Los Brasiles Airport,Los Brasiles,Nicaragua,,MNBR,12.190,-86.354,262,America/Managua,U
Leon (Fanor Urroz) Airport,Leon,Nicaragua,,MNLN,12.429,-86.903,328,America/Managua,U
Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA,MNMG,12.142,-86.168,194,America/Managua,U
Puerto Cabezas Airport,Puerto Cabezas,Nicaragua,PUZ,MNPC,14.047,-83.387,52,America/Managua,U
Bocas Del Toro International Airport,Bocas Del Toro,Panama,BOC,MPBO,9.341,-82.251,10,America/Panama,U
Cap Manuel Niño International Airport,Changuinola,Panama,CHX,MPCH,9.459,-82.515,19,America/Panama,U
Enrique Malek International Airport,David,Panama,DAV,MPDA,8.391,-82.435,89,America/Panama,U
Panama Pacific International Airport,Howard,Panama,BLB,MPHO,8.915,-79.600,52,America/Panama,U
Marcos A. Gelabert International Airport,Panama,Panama,PAC,MPMG,8.973,-79.556,31,America/Panama,U
Ruben Cantu Airport,Santiago,Panama,SYP,MPSA,8.086,-80.945,272,America/Panama,U
Tocumen International Airport,Panama City,Panama,PTY,MPTO,9.071,-79.383,135,America/Panama,U
Buenos Aires Airport,Buenos Aires,Costa Rica,BAI,MRBA,9.164,-83.330,1214,America/Costa_Rica,U
Coto 47 Airport,Coto 47,Costa Rica,OTR,MRCC,8.602,-82.969,26,America/Costa_Rica,U
Chacarita Airport,Chacarita,Costa Rica,JAP,MRCH,9.981,-84.773,7,America/Costa_Rica,U
El Carmen de Siquirres Airport,El Carmen,Costa Rica,,MREC,10.202,-83.472,56,America/Costa_Rica,U
Finca 10 / Nuevo Palmar Sur Airport,Finca 10,Costa Rica,,MRFI,8.916,-83.507,25,America/Costa_Rica,U
Golfito Airport,Golfito,Costa Rica,GLF,MRGF,8.654,-83.182,49,America/Costa_Rica,U
Guapiles Airport,Guapiles,Costa Rica,GPL,MRGP,10.217,-83.797,883,America/Costa_Rica,U
Daniel Oduber Quiros International Airport,Liberia,Costa Rica,LIR,MRLB,10.593,-85.544,270,America/Costa_Rica,U
Los Chiles Airport,Los Chiles,Costa Rica,LSL,MRLC,11.035,-84.706,131,America/Costa_Rica,U
Limon International Airport,Limon,Costa Rica,LIO,MRLM,9.958,-83.022,7,America/Costa_Rica,U
Nosara Airport,Nosara Beach,Costa Rica,NOB,MRNS,9.976,-85.653,33,America/Costa_Rica,U
Juan Santamaria International Airport,San Jose,Costa Rica,SJO,MROC,9.994,-84.209,3021,America/Costa_Rica,U
Pandora Airport,Pandora,Costa Rica,,MRPD,9.732,-82.983,98,America/Costa_Rica,U
Palmar Sur Airport,Palmar Sur,Costa Rica,PMZ,MRPM,8.951,-83.469,49,America/Costa_Rica,U
Quepos Managua Airport,Quepos,Costa Rica,XQP,MRQP,9.443,-84.130,85,America/Costa_Rica,U
Santa Clara De Guapiles Airport,Santa Clara,Costa Rica,,MRSG,10.288,-83.714,262,America/Costa_Rica,U
San Vito De Java Airport,San Vito De Jaba,Costa Rica,TOO,MRSV,8.826,-82.959,3228,America/Costa_Rica,U
Monseñor Óscar Arnulfo Romero International Airport,San Salvador,El Salvador,SAL,MSLP,13.441,-89.056,101,America/El_Salvador,U
Ilopango International Airport,San Salvador,El Salvador,,MSSS,13.700,-89.120,2021,America/El_Salvador,U
Les Cayes Airport,Cayes,Haiti,CYA,MTCA,18.271,-73.788,203,America/Port-au-Prince,U
Cap Haitien International Airport,Cap Haitien,Haiti,CAP,MTCH,19.733,-72.195,10,America/Port-au-Prince,U
Jacmel Airport,Jacmel,Haiti,JAK,MTJA,18.241,-72.519,167,America/Port-au-Prince,U
Toussaint Louverture International Airport,Port-au-prince,Haiti,PAP,MTPP,18.580,-72.293,122,America/Port-au-Prince,U
Gustavo Rizo Airport,Baracoa Playa,Cuba,BCA,MUBA,20.365,-74.506,26,America/Havana,U
Carlos Manuel de Cespedes Airport,Bayamo,Cuba,BYM,MUBY,20.396,-76.621,203,America/Havana,U
Maximo Gomez Airport,Ciego De Avila,Cuba,AVI,MUCA,22.027,-78.790,335,America/Havana,U
Jardines Del Rey Airport,Cunagua,Cuba,CCC,MUCC,22.461,-78.328,13,America/Havana,U
Jaime Gonzalez Airport,Cienfuegos,Cuba,CFG,MUCF,22.150,-80.414,102,America/Havana,U
Vilo Acuña International Airport,Cayo Largo del Sur,Cuba,CYO,MUCL,21.617,-81.546,10,America/Havana,U
Ignacio Agramonte International Airport,Camaguey,Cuba,CMW,MUCM,21.420,-77.848,413,America/Havana,U
Antonio Maceo International Airport,Santiago De Cuba,Cuba,SCU,MUCU,19.970,-75.835,249,America/Havana,U
Florida Airport,Florida,Cuba,,MUFL,21.500,-78.203,197,America/Havana,U
Leeward Point Field,Guantanamo,Cuba,NBW,MUGM,19.906,-75.207,56,,U
Mariana Grajales Airport,Guantanamo,Cuba,GAO,MUGT,20.085,-75.158,56,America/Havana,U
José Martí International Airport,Havana,Cuba,HAV,MUHA,22.989,-82.409,210,America/Havana,U
Frank Pais International Airport,Holguin,Cuba,HOG,MUHG,20.786,-76.315,361,America/Havana,U
La Coloma Airport,La Coloma,Cuba,LCL,MULM,22.336,-83.642,131,America/Havana,U
Orestes Acosta Airport,Moa,Cuba,MOA,MUMO,20.654,-74.922,16,America/Havana,U
Sierra Maestra Airport,Manzanillo,Cuba,MZO,MUMZ,20.288,-77.089,112,America/Havana,U
Rafael Cabrera Airport,Nueva Gerona,Cuba,GER,MUNG,21.835,-82.784,79,America/Havana,U
Playa Baracoa Airport,Baracoa Playa,Cuba,UPB,MUPB,23.033,-82.579,102,America/Havana,U
Pinar Del Rio Airport,Pinar Del Rio Norte,Cuba,QPD,MUPR,22.421,-83.678,131,America/Havana,U
San Antonio De Los Banos Airport,San Antonio De Banos,Cuba,,MUSA,22.872,-82.509,164,America/Havana,U
Abel Santamaria Airport,Santa Clara,Cuba,SNU,MUSC,22.492,-79.944,338,America/Havana,U
Joaquín de Agüero Airport,Santa Lucia,Cuba,,MUSL,21.509,-77.021,13,America/Havana,U
Siguanea Airport,Siguanea,Cuba,SZJ,MUSN,21.642,-82.955,39,America/Havana,U
Sancti Spiritus Airport,Sancti Spiritus,Cuba,USS,MUSS,21.970,-79.443,295,America/Havana,U
Juan Gualberto Gomez International Airport,Varadero,Cuba,VRA,MUVR,23.034,-81.435,210,America/Havana,U
Hermanos Ameijeiras Airport,Las Tunas,Cuba,VTU,MUVT,20.988,-76.936,328,America/Havana,U
Gerrard Smith International Airport,Cayman Brac,Cayman Islands,CYB,MWCB,19.687,-79.883,8,America/Cayman,N
Owen Roberts International Airport,Georgetown,Cayman Islands,GCM,MWCR,19.293,-81.358,8,America/Cayman,N
Clarence A. Bain Airport,Clarence Bain,Bahamas,MAY,MYAB,24.288,-77.685,19,America/Nassau,U
Andros Town Airport,Andros Town,Bahamas,ASD,MYAF,24.698,-77.796,5,America/Nassau,U
Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MHH,MYAM,26.511,-77.084,6,America/Nassau,U
San Andros Airport,San Andros,Bahamas,SAQ,MYAN,25.054,-78.049,5,America/Nassau,U
Spring Point Airport,Spring Point,Bahamas,AXP,MYAP,22.442,-73.971,11,America/Nassau,U
Sandy Point Airport,Sandy Point,Bahamas,,MYAS,26.005,-77.396,8,America/Nassau,U
Treasure Cay Airport,Treasure Cay,Bahamas,TCB,MYAT,26.745,-77.391,8,America/Nassau,U
Chub Cay Airport,Chub Cay,Bahamas,CCZ,MYBC,25.417,-77.881,5,America/Nassau,U
Great Harbour Cay Airport,Bullocks Harbour,Bahamas,GHC,MYBG,25.738,-77.840,18,America/Nassau,U
South Bimini Airport,Alice Town,Bahamas,BIM,MYBS,25.700,-79.265,10,America/Nassau,U
Exuma International Airport,Great Exuma,Bahamas,GGT,MYEF,23.563,-75.878,9,America/Nassau,U
George Town Airport,George Town,Bahamas,,MYEG,23.467,-75.782,5,America/Nassau,U
North Eleuthera Airport,North Eleuthera,Bahamas,ELH,MYEH,25.475,-76.684,13,America/Nassau,U
Governor's Harbour Airport,Governor's Harbor,Bahamas,GHB,MYEM,25.285,-76.331,26,America/Nassau,U
Normans Cay Airport,Norman's Cay,Bahamas,NMC,MYEN,24.594,-76.820,8,America/Nassau,U
Rock Sound Airport,Rock Sound,Bahamas,RSD,MYER,24.895,-76.177,10,America/Nassau,U
Staniel Cay Airport,Staniel Cay,Bahamas,TYM,MYES,24.169,-76.439,5,America/Nassau,U
Grand Bahama International Airport,Freeport,Bahamas,FPO,MYGF,26.559,-78.696,7,America/Nassau,U
Inagua Airport,Matthew Town,Bahamas,IGA,MYIG,20.975,-73.667,8,America/Nassau,U
Deadman's Cay Airport,Dead Man's Cay,Bahamas,LGI,MYLD,23.179,-75.094,9,America/Nassau,U
Stella Maris Airport,Stella Maris,Bahamas,SML,MYLS,23.582,-75.269,10,America/Nassau,U
Mayaguana Airport,Mayaguana,Bahamas,MYG,MYMM,22.379,-73.013,11,America/Nassau,U
Lynden Pindling International Airport,Nassau,Bahamas,NAS,MYNN,25.039,-77.466,16,America/Nassau,U
Duncan Town Airport,Duncan Town,Bahamas,DCT,MYRD,22.182,-75.729,6,America/Nassau,U
Rum Cay Airport,Port Nelson,Bahamas,RCY,MYRP,23.684,-74.836,15,America/Nassau,U
San Salvador Airport,Cockburn Town,Bahamas,ZSA,MYSM,24.063,-74.524,24,America/Nassau,U
Philip S. W. Goldson International Airport,Belize City,Belize,BZE,MZBZ,17.539,-88.308,15,America/Belize,U
Aitutaki Airport,Aitutaki,Cook Islands,AIT,NCAI,-18.831,-159.764,14,Pacific/Rarotonga,U
Rarotonga International Airport,Avarua,Cook Islands,RAR,NCRG,-21.203,-159.806,19,Pacific/Rarotonga,U
Nadi International Airport,Nandi,Fiji,NAN,NFFN,-17.755,177.443,59,Pacific/Fiji,U
Nausori International Airport,Nausori,Fiji,SUV,NFNA,-18.043,178.559,17,Pacific/Fiji,U
Fua'amotu International Airport,Tongatapu,Tonga,TBU,NFTF,-21.241,-175.150,126,Pacific/Tongatapu,U
Vava'u International Airport,Vava'u,Tonga,VAV,NFTV,-18.585,-173.962,236,Pacific/Tongatapu,U
Bonriki International Airport,Tarawa,Kiribati,TRW,NGTA,1.382,173.147,9,Pacific/Tarawa,U
Tabiteuea North Airport,Tabiteuea North,Kiribati,TBF,NGTE,-1.224,174.776,7,,U
Hihifo Airport,Wallis,Wallis and Futuna,WLS,NLWW,-13.238,-176.199,79,Pacific/Wallis,U
Faleolo International Airport,Faleolo,Samoa,APW,NSFA,-13.830,-172.008,58,Pacific/Apia,U
Pago Pago International Airport,Pago Pago,American Samoa,PPG,NSTU,-14.331,-170.710,32,Pacific/Pago_Pago,U
Rurutu Airport,Rurutu,French Polynesia,RUR,NTAR,-22.434,-151.361,18,,U
Tubuai Airport,Tubuai,French Polynesia,TUB,NTAT,-23.365,-149.524,7,Pacific/Tahiti,U
Anaa Airport,Anaa,French Polynesia,AAA,NTGA,-17.353,-145.510,10,Pacific/Tahiti,U
Fangatau Airport,Fangatau,French Polynesia,FGU,NTGB,-15.820,-140.887,9,Pacific/Tahiti,U
Tikehau Airport,Tikehau,French Polynesia,TIH,NTGC,-15.120,-148.231,6,Pacific/Tahiti,U
Reao Airport,Reao,French Polynesia,REA,NTGE,-18.466,-136.440,12,,U
Fakarava Airport,Fakarava,French Polynesia,FAV,NTGF,-16.054,-145.657,13,Pacific/Tahiti,U
Manihi Airport,Manihi,French Polynesia,XMH,NTGI,-14.437,-146.070,14,Pacific/Tahiti,U
Totegegie Airport,Totegegie,French Polynesia,GMR,NTGJ,-23.080,-134.890,7,Pacific/Gambier,U
Kaukura Airport,Kaukura Atoll,French Polynesia,KKR,NTGK,-15.663,-146.885,11,Pacific/Tahiti,U
Makemo Airport,Makemo,French Polynesia,MKP,NTGM,-16.584,-143.658,3,Pacific/Tahiti,U
Puka Puka Airport,Puka Puka,French Polynesia,PKP,NTGP,-14.809,-138.813,5,Pacific/Tahiti,U
Takapoto Airport,Takapoto,French Polynesia,TKP,NTGT,-14.710,-145.246,12,Pacific/Tahiti,U
Arutua Airport,Arutua,French Polynesia,AXR,NTGU,-15.248,-146.617,9,Pacific/Tahiti,U
Mataiva Airport,Mataiva,French Polynesia,MVT,NTGV,-14.868,-148.717,11,Pacific/Tahiti,U
Takaroa Airport,Takaroa,French Polynesia,TKX,NTKR,-14.456,-145.025,13,Pacific/Tahiti,U
Nuku Hiva Airport,Nuku Hiva,French Polynesia,NHV,NTMD,-8.796,-140.229,220,Pacific/Marquesas,U
Bora Bora Airport,Bora Bora,French Polynesia,BOB,NTTB,-16.444,-151.751,10,Pacific/Tahiti,U
Rangiroa Airport,Rangiroa,French Polynesia,RGI,NTTG,-14.954,-147.661,10,Pacific/Tahiti,U
Huahine-Fare Airport,Huahine Island,French Polynesia,HUH,NTTH,-16.687,-151.022,7,Pacific/Tahiti,U
Moorea Airport,Moorea,French Polynesia,MOZ,NTTM,-17.490,-149.762,9,Pacific/Tahiti,U
Hao Airport,Hao Island,French Polynesia,HOI,NTTO,-18.075,-140.946,10,,U
Maupiti Airport,Maupiti,French Polynesia,MAU,NTTP,-16.427,-152.244,15,Pacific/Tahiti,U
Raiatea Airport,Raiatea Island,French Polynesia,RFP,NTTR,-16.723,-151.466,3,Pacific/Tahiti,U
Bauerfield International Airport,Port-vila,Vanuatu,VLI,NVVV,-17.699,168.320,70,Pacific/Efate,U
Koné Airport,Kone,New Caledonia,KNQ,NWWD,-21.054,164.837,23,Pacific/Noumea,U
Koumac Airport,Koumac,New Caledonia,KOC,NWWK,-20.546,164.256,42,Pacific/Noumea,U
Lifou Airport,Lifou,New Caledonia,LIF,NWWL,-20.775,167.240,92,Pacific/Noumea,U
Nouméa Magenta Airport,Noumea,New Caledonia,GEA,NWWM,-22.258,166.473,10,Pacific/Noumea,U
Maré Airport,Mare,New Caledonia,MEE,NWWR,-21.482,168.038,141,Pacific/Noumea,U
Touho Airport,Touho,New Caledonia,TOU,NWWU,-20.790,165.259,10,Pacific/Noumea,U
Ouvéa Airport,Ouvea,New Caledonia,UVE,NWWV,-20.641,166.573,23,Pacific/Noumea,U
La Tontouta International Airport,Noumea,New Caledonia,NOU,NWWW,-22.015,166.213,52,Pacific/Noumea,U
Auckland International Airport,Auckland,New Zealand,AKL,NZAA,-37.008,174.792,23,Pacific/Auckland,Z
Taupo Airport,Taupo,New Zealand,TUO,NZAP,-38.740,176.084,1335,Pacific/Auckland,Z
Ardmore Airport,Ardmore,New Zealand,AMZ,NZAR,-37.030,174.973,111,Pacific/Auckland,Z
Christchurch International Airport,Christchurch,New Zealand,CHC,NZCH,-43.489,172.532,123,Pacific/Auckland,Z
Chatham Islands-Tuuta Airport,Chatham Island,New Zealand,CHT,NZCI,-43.810,-176.457,43,Pacific/Chatham,Z
Dunedin Airport,Dunedin,New Zealand,DUD,NZDN,-45.928,170.198,4,Pacific/Auckland,Z
Gisborne Airport,Gisborne,New Zealand,GIS,NZGS,-38.663,177.978,15,Pacific/Auckland,Z
Glentanner Airport,Glentanner,New Zealand,GTN,NZGT,-43.907,170.128,1824,Pacific/Auckland,Z
Hokitika Airfield,Hokitika,New Zealand,HKK,NZHK,-42.714,170.985,146,Pacific/Auckland,Z
Hamilton International Airport,Hamilton,New Zealand,HLZ,NZHN,-37.867,175.332,172,Pacific/Auckland,Z
Hastings Aerodrome,Hastings,New Zealand,,NZHS,-39.647,176.767,72,Pacific/Auckland,Z
Kerikeri Airport,Kerikeri,New Zealand,KKE,NZKK,-35.263,173.912,492,Pacific/Auckland,Z
Kaitaia Airport,Kaitaia,New Zealand,KAT,NZKT,-35.070,173.285,270,Pacific/Auckland,Z
Alexandra Airport,Alexandra,New Zealand,ALR,NZLX,-45.212,169.373,752,Pacific/Auckland,Z
Mount Cook Airport,Mount Cook,New Zealand,MON,NZMC,-43.765,170.133,2153,Pacific/Auckland,Z
Manapouri Airport,Manapouri,New Zealand,TEU,NZMO,-45.533,167.650,687,Pacific/Auckland,Z
Hood Airport,Masterton,New Zealand,MRO,NZMS,-40.973,175.634,364,Pacific/Auckland,Z
New Plymouth Airport,New Plymouth,New Zealand,NPL,NZNP,-39.009,174.179,97,Pacific/Auckland,Z
Nelson Airport,Nelson,New Zealand,NSN,NZNS,-41.298,173.221,17,Pacific/Auckland,Z
Invercargill Airport,Invercargill,New Zealand,IVC,NZNV,-46.412,168.313,5,Pacific/Auckland,Z
RNZAF Base Ohakea,Ohakea,New Zealand,OHA,NZOH,-40.206,175.388,164,Pacific/Auckland,Z
Oamaru Airport,Oamaru,New Zealand,OAM,NZOU,-44.970,171.082,99,Pacific/Auckland,Z
Palmerston North Airport,Palmerston North,New Zealand,PMR,NZPM,-40.321,175.617,151,Pacific/Auckland,Z
Paraparaumu Airport,Paraparaumu,New Zealand,PPQ,NZPP,-40.905,174.989,22,Pacific/Auckland,Z
Queenstown International Airport,Queenstown International,New Zealand,ZQN,NZQN,-45.021,168.739,1171,Pacific/Auckland,Z
Rotorua Regional Airport,Rotorua,New Zealand,ROT,NZRO,-38.109,176.317,935,Pacific/Auckland,Z
Waiouru Airport,Waiouru,New Zealand,,NZRU,-39.446,175.658,2686,Pacific/Auckland,Z
South Pole Station Airport,Stephen's Island,Antarctica,,NZSP,-90.000,0.000,9300,Antarctica/South_Pole,U
Tauranga Airport,Tauranga,New Zealand,TRG,NZTG,-37.672,176.196,13,Pacific/Auckland,Z
Timaru Airport,Timaru,New Zealand,TIU,NZTU,-44.303,171.225,89,Pacific/Auckland,Z
Pukaki Airport,Pukaki,New Zealand,TWZ,NZUK,-44.235,170.118,1575,Pacific/Auckland,Z
Woodbourne Airport,Woodbourne,New Zealand,BHE,NZWB,-41.518,173.870,109,Pacific/Auckland,Z
Williams Field,Weydon,Antarctica,,NZWD,-77.867,167.057,68,Antarctica/South_Pole,N
Wanaka Airport,Wanaka,New Zealand,WKA,NZWF,-44.722,169.246,1142,Pacific/Auckland,Z
Wigram Airport,Wigram,New Zealand,,NZWG,-43.551,172.553,74,Pacific/Auckland,Z
Whakatane Airport,Whakatane,New Zealand,WHK,NZWK,-37.921,176.914,20,Pacific/Auckland,Z
Wellington International Airport,Wellington,New Zealand,WLG,NZWN,-41.327,174.805,41,Pacific/Auckland,Z
Wairoa Airport,Wairoa,New Zealand,WIR,NZWO,-39.007,177.407,42,Pacific/Auckland,Z
RNZAF Base Auckland-Whenuapai,Whenuapai,New Zealand,,NZWP,-36.788,174.630,100,Pacific/Auckland,Z
Whangarei Airport,Whangarei,New Zealand,WRE,NZWR,-35.768,174.365,133,Pacific/Auckland,Z
Westport Airport,Westport,New Zealand,WSZ,NZWS,-41.738,171.581,13,Pacific/Auckland,Z
Wanganui Airport,Wanganui,New Zealand,WAG,NZWU,-39.962,175.025,27,Pacific/Auckland,Z
Herat Airport,Herat,Afghanistan,HEA,OAHR,34.210,62.228,3206,Asia/Kabul,U
Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,34.400,70.499,1814,Asia/Kabul,U
Hamid Karzai International Airport,Kabul,Afghanistan,KBL,OAKB,34.566,69.212,5877,Asia/Kabul,U
Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.506,65.848,3337,Asia/Kabul,U
Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,35.931,64.761,2743,Asia/Kabul,U
Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.707,67.210,1284,Asia/Kabul,U
