name,city,country,iata,icao,latitude,longitude,altitude,timezone,timezone_dst
Hana Airport,Hana,United States,HNM,PHHN,20.796,-156.014,78,Pacific/Honolulu,A
Ernest A. Love Field,Prescott,United States,PRC,KPRC,34.654,-112.420,5045,America/Phoenix,A
Trenton Mercer Airport,Trenton,United States,TTN,KTTN,40.277,-74.813,213,America/New_York,A
General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.364,-71.005,20,America/New_York,A
Travis Air Force Base,Fairfield,United States,SUU,KSUU,38.263,-121.927,62,America/Los_Angeles,A
Griffiss International Airport,Rome,United States,RME,KRME,43.234,-75.407,504,America/New_York,A
Wendover Airport,Wendover,United States,ENV,KENV,40.719,-114.031,4237,America/Denver,A
Mobile Downtown Airport,Mobile,United States,BFM,KBFM,30.627,-88.068,26,America/Chicago,A
Metropolitan Oakland International Airport,Oakland,United States,OAK,KOAK,37.721,-122.221,9,America/Los_Angeles,A
Eppley Airfield,Omaha,United States,OMA,KOMA,41.303,-95.894,984,America/Chicago,A
Port Angeles Cgas Airport,Port Angeles,United States,,KNOW,48.141,-123.414,13,America/Los_Angeles,A
Kahului Airport,Kahului,United States,OGG,PHOG,20.899,-156.430,54,Pacific/Honolulu,N
Wichita Eisenhower National Airport,Wichita,United States,ICT,KICT,37.650,-97.433,1333,America/Chicago,A
Kansas City International Airport,Kansas City,United States,MCI,KMCI,39.298,-94.714,1026,America/Chicago,A
Dane County Regional Truax Field,Madison,United States,MSN,KMSN,43.140,-89.338,887,America/Chicago,A
Dillingham Airport,Dillingham,United States,DLG,PADL,59.045,-158.505,81,America/Anchorage,A
Boone County Airport,Harrison,United States,HRO,KHRO,36.262,-93.155,1365,America/Chicago,A
Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,KPHX,33.434,-112.012,1135,America/Phoenix,N
Bangor International Airport,Bangor,United States,BGR,KBGR,44.807,-68.828,192,America/New_York,A
Fort Lauderdale Executive Airport,Fort Lauderdale,United States,FXE,KFXE,26.197,-80.171,13,America/New_York,A
East Texas Regional Airport,Longview,United States,GGG,KGGG,32.384,-94.712,365,America/Chicago,A
Anderson Regional Airport,Andersen,United States,AND,KAND,34.495,-82.709,782,America/New_York,A
Spokane International Airport,Spokane,United States,GEG,KGEG,47.620,-117.534,2376,America/Los_Angeles,A
North Perry Airport,Hollywood,United States,HWO,KHWO,26.001,-80.241,8,America/New_York,A
San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.619,-122.375,13,America/Los_Angeles,A
Cut Bank International Airport,Cutbank,United States,CTB,KCTB,48.608,-112.376,3854,America/Denver,A
Acadiana Regional Airport,Louisiana,United States,ARA,KARA,30.038,-91.884,24,America/Chicago,A
Gainesville Regional Airport,Gainesville,United States,GNV,KGNV,29.690,-82.272,152,America/New_York,A
Memphis International Airport,Memphis,United States,MEM,KMEM,35.042,-89.977,341,America/Chicago,A
Bisbee Douglas International Airport,Douglas,United States,DUG,KDUG,31.469,-109.604,4154,America/Phoenix,A
Allen Army Airfield,Delta Junction,United States,BIG,PABI,63.994,-145.722,1291,America/Anchorage,A
TSTC Waco Airport,Waco,United States,CNW,KCNW,31.638,-97.074,470,America/Chicago,A
Annette Island Airport,Annette Island,United States,ANN,PANT,55.042,-131.572,119,America/Anchorage,A
Caribou Municipal Airport,Caribou,United States,CAR,KCAR,46.871,-68.018,626,America/New_York,A
Little Rock Air Force Base,Jacksonville,United States,LRF,KLRF,34.917,-92.150,311,America/Chicago,A
Redstone Army Air Field,Redstone,United States,HUA,KHUA,34.679,-86.685,684,America/Chicago,A
Pope Field,Fort Bragg,United States,POB,KPOB,35.171,-79.015,217,America/New_York,A
Dalhart Municipal Airport,Dalhart,United States,DHT,KDHT,36.023,-102.547,3991,America/Chicago,A
DLF Airport,Del Rio,United States,DLF,KDLF,29.360,-100.778,1082,America/Chicago,A
Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.943,-118.408,125,America/Los_Angeles,A
Anniston Regional Airport,Anniston,United States,ANB,KANB,33.588,-85.858,612,America/Chicago,A
Cleveland Hopkins International Airport,Cleveland,United States,CLE,KCLE,41.412,-81.850,791,America/New_York,A
Dover Air Force Base,Dover,United States,DOV,KDOV,39.130,-75.466,24,America/New_York,A
Cincinnati Northern Kentucky International Airport,Cincinnati,United States,CVG,KCVG,39.049,-84.668,896,America/New_York,A
Tipton Airport,Fort Meade,United States,FME,KFME,39.085,-76.759,150,America/New_York,A
China Lake Naws (Armitage Field) Airport,China Lake,United States,,KNID,35.685,-117.692,2283,America/Los_Angeles,A
Huron Regional Airport,Huron,United States,HON,KHON,44.385,-98.229,1289,America/Chicago,A
Juneau International Airport,Juneau,United States,JNU,PAJN,58.355,-134.576,21,America/Anchorage,A
Lafayette Regional Airport,Lafayette,United States,LFT,KLFT,30.205,-91.988,42,America/Chicago,A
Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.693,-74.169,18,America/New_York,A
Boise Air Terminal/Gowen Field,Boise,United States,BOI,KBOI,43.564,-116.223,2871,America/Denver,A
Creech Air Force Base,Indian Springs,United States,INS,KINS,36.587,-115.673,3133,America/Los_Angeles,A
Garden City Regional Airport,Garden City,United States,GCK,KGCK,37.928,-100.724,2891,America/Chicago,A
Minot International Airport,Minot,United States,MOT,KMOT,48.259,-101.280,1716,America/Chicago,A
Wheeler Army Airfield,Wahiawa,United States,HHI,PHHI,21.483,-158.040,837,Pacific/Honolulu,A
Maxwell Air Force Base,Montgomery,United States,MXF,KMXF,32.383,-86.366,171,America/Chicago,A
Robinson Army Air Field,Robinson,United States,,KRBM,34.850,-92.300,587,America/Chicago,A
Dallas Love Field,Dallas,United States,DAL,KDAL,32.847,-96.852,487,America/Chicago,A
Butts AAF (Fort Carson) Air Field,Fort Carson,United States,FCS,KFCS,38.678,-104.757,5838,America/Denver,A
Helena Regional Airport,Helena,United States,HLN,KHLN,46.607,-111.983,3877,America/Denver,A
Miramar Marine Corps Air Station - Mitscher Field,Miramar,United States,NKX,KNKX,32.868,-117.143,477,America/Los_Angeles,A
Luke Air Force Base,Phoenix,United States,LUF,KLUF,33.535,-112.383,1085,America/Phoenix,A
Hurlburt Field,Mary Esther,United States,,KHRT,30.428,-86.689,38,America/Chicago,A
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,HHR,KHHR,33.923,-118.335,66,America/Los_Angeles,A
Houlton International Airport,Houlton,United States,HUL,KHUL,46.123,-67.792,489,America/New_York,A
Vance Air Force Base,Enid,United States,END,KEND,36.339,-97.916,1307,America/Chicago,A
Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,NTD,KNTD,34.120,-119.121,13,America/Los_Angeles,A
Edwards Air Force Base,Edwards Afb,United States,EDW,KEDW,34.905,-117.884,2312,America/Los_Angeles,A
Lake Charles Regional Airport,Lake Charles,United States,LCH,KLCH,30.126,-93.223,15,America/Chicago,A
Ellison Onizuka Kona International At Keahole Airport,Kona,United States,KOA,PHKO,19.739,-156.046,47,Pacific/Honolulu,N
Myrtle Beach International Airport,Myrtle Beach,United States,MYR,KMYR,33.680,-78.928,25,America/New_York,A
Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,NLC,KNLC,36.333,-119.952,232,America/Los_Angeles,A
Nantucket Memorial Airport,Nantucket,United States,ACK,KACK,41.253,-70.060,47,America/New_York,A
Felker Army Air Field,Fort Eustis,United States,FAF,KFAF,37.132,-76.609,12,America/New_York,A
Campbell AAF (Fort Campbell) Air Field,Hopkinsville,United States,HOP,KHOP,36.669,-87.496,573,America/Chicago,A
Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.852,-77.038,15,America/New_York,A
Patuxent River Naval Air Station (Trapnell Field),Patuxent River,United States,NHK,KNHK,38.286,-76.412,39,America/New_York,A
Palacios Municipal Airport,Palacios,United States,PSX,KPSX,28.728,-96.251,14,America/Chicago,A
Arkansas International Airport,Blytheville,United States,BYH,KBYH,35.964,-89.944,254,America/Chicago,A
Atlantic City International Airport,Atlantic City,United States,ACY,KACY,39.458,-74.577,75,America/New_York,A
Tinker Air Force Base,Oklahoma City,United States,TIK,KTIK,35.415,-97.387,1291,America/Chicago,A
Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,ECG,KECG,36.261,-76.175,12,America/New_York,A
Pueblo Memorial Airport,Pueblo,United States,PUB,KPUB,38.289,-104.497,4726,America/Denver,A
Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,PQI,KPQI,46.689,-68.045,534,America/New_York,A
Gray Army Air Field,Fort Lewis,United States,GRF,KGRF,47.079,-122.581,300,America/Los_Angeles,A
Kodiak Airport,Kodiak,United States,ADQ,PADQ,57.750,-152.494,78,America/Anchorage,A
Upolu Airport,Opolu,United States,UPP,PHUP,20.265,-155.860,96,Pacific/Honolulu,A
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.073,-80.153,9,America/New_York,A
Muskogee-Davis Regional Airport,Muskogee,United States,,KMKO,35.657,-95.367,611,America/Chicago,A
Falls International Airport,International Falls,United States,INL,KINL,48.566,-93.403,1185,America/Chicago,A
Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.788,-111.978,4227,America/Denver,A
Childress Municipal Airport,Childress,United States,CDS,KCDS,34.434,-100.288,1954,America/Chicago,A
Keesler Air Force Base,Biloxi,United States,BIX,KBIX,30.410,-88.924,33,America/Chicago,A
Lawson Army Air Field (Fort Benning),Fort Benning,United States,LSF,KLSF,32.337,-84.991,232,America/New_York,A
Kingsville Naval Air Station,Kingsville,United States,NQI,KNQI,27.507,-97.810,50,America/Chicago,A
Marshall Army Air Field,Fort Riley,United States,FRI,KFRI,39.055,-96.765,1065,America/Chicago,A
Harrisburg International Airport,Harrisburg,United States,MDT,KMDT,40.194,-76.763,310,America/New_York,A
Lincoln Airport,Lincoln,United States,LNK,KLNK,40.851,-96.759,1219,America/Chicago,A
Capital City Airport,Lansing,United States,LAN,KLAN,42.779,-84.587,861,America/New_York,A
Waimea Kohala Airport,Kamuela,United States,MUE,PHMU,20.001,-155.668,2671,Pacific/Honolulu,A
Massena International Richards Field,Massena,United States,MSS,KMSS,44.936,-74.846,215,America/New_York,A
Hickory Regional Airport,Hickory,United States,HKY,KHKY,35.741,-81.390,1190,America/New_York,A
Albert Whitted Airport,St. Petersburg,United States,SPG,KSPG,27.765,-82.627,7,America/New_York,A
Page Field,Fort Myers,United States,FMY,KFMY,26.587,-81.863,17,America/New_York,A
George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.984,-95.341,97,America/Chicago,A
Millinocket Municipal Airport,Millinocket,United States,,KMLT,45.648,-68.686,408,America/New_York,A
Joint Base Andrews,Camp Springs,United States,ADW,KADW,38.811,-76.867,280,America/New_York,A
Smith Reynolds Airport,Winston-salem,United States,INT,KINT,36.134,-80.222,969,America/New_York,A
Southern California Logistics Airport,Victorville,United States,VCV,KVCV,34.597,-117.383,2885,America/Los_Angeles,A
Bob Sikes Airport,Crestview,United States,CEW,KCEW,30.779,-86.522,213,America/Chicago,A
Wheeler Sack Army Air Field,Fort Drum,United States,,KGTB,44.056,-75.719,688,America/New_York,A
St Clair County International Airport,Port Huron,United States,PHN,KPHN,42.911,-82.529,650,America/New_York,A
Meadows Field,Bakersfield,United States,BFL,KBFL,35.434,-119.057,510,America/Los_Angeles,A
El Paso International Airport,El Paso,United States,ELP,KELP,31.807,-106.378,3959,America/Denver,A
Valley International Airport,Harlingen,United States,HRL,KHRL,26.229,-97.654,36,America/Chicago,A
Columbia Metropolitan Airport,Columbia,United States,CAE,KCAE,33.939,-81.119,236,America/New_York,A
Davis Monthan Air Force Base,Tucson,United States,DMA,KDMA,32.167,-110.883,2704,America/Phoenix,A
Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,United States,NPA,KNPA,30.353,-87.319,28,America/Chicago,A
Pensacola Regional Airport,Pensacola,United States,PNS,KPNS,30.473,-87.187,121,America/Chicago,A
Grand Forks Air Force Base,Red River,United States,RDR,KRDR,47.961,-97.401,913,America/Chicago,A
William P Hobby Airport,Houston,United States,HOU,KHOU,29.645,-95.279,46,America/Chicago,A
Buckley Air Force Base,Buckley,United States,BFK,KBKF,39.702,-104.752,5662,America/Denver,A
Northway Airport,Northway,United States,ORT,PAOR,62.961,-141.929,1715,America/Anchorage,A
"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,United States,PAQ,PAAQ,61.595,-149.089,242,America/Anchorage,A
Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.492,-80.233,1203,America/New_York,A
Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,PABR,71.285,-156.766,44,America/Anchorage,A
Ellington Airport,Houston,United States,EFD,KEFD,29.607,-95.159,32,America/Chicago,A
Whidbey Island Naval Air Station (Ault Field),Whidbey Island,United States,NUW,KNUW,48.352,-122.656,47,America/Los_Angeles,A
Alice International Airport,Alice,United States,ALI,KALI,27.741,-98.027,178,America/Chicago,A
Moody Air Force Base,Valdosta,United States,VAD,KVAD,30.968,-83.193,233,America/New_York,A
Miami International Airport,Miami,United States,MIA,KMIA,25.793,-80.291,8,America/New_York,A
Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449,-122.309,433,America/Los_Angeles,A
Lovell Field,Chattanooga,United States,CHA,KCHA,35.035,-85.204,683,America/New_York,A
Igor I Sikorsky Memorial Airport,Stratford,United States,BDR,KBDR,41.164,-73.126,9,America/New_York,A
Jackson-Medgar Wiley Evers International Airport,Jackson,United States,JAN,KJAN,32.311,-90.076,346,America/Chicago,A
Scholes International At Galveston Airport,Galveston,United States,GLS,KGLS,29.265,-94.860,6,America/Chicago,A
Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,33.818,-118.152,60,America/Los_Angeles,A
Dillingham Airfield,Dillingham,United States,HDH,PHDH,21.580,-158.197,14,Pacific/Honolulu,A
Williamsport Regional Airport,Williamsport,United States,IPT,KIPT,41.242,-76.921,529,America/New_York,A
Indianapolis International Airport,Indianapolis,United States,IND,KIND,39.717,-86.294,797,America/New_York,A
Whiteman Air Force Base,Knobnoster,United States,SZL,KSZL,38.730,-93.548,870,America/Chicago,A
Akron Fulton International Airport,Akron,United States,AKC,KAKR,41.037,-81.467,1067,America/New_York,A
Greenwood–Leflore Airport,Greenwood,United States,GWO,KGWO,33.494,-90.085,162,America/Chicago,A
Westchester County Airport,White Plains,United States,HPN,KHPN,41.067,-73.708,439,America/New_York,A
Francis S Gabreski Airport,West Hampton Beach,United States,FOK,KFOK,40.844,-72.632,67,America/New_York,A
Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,35.832,-90.646,262,America/Chicago,A
Tonopah Test Range Airport,Tonopah,United States,XSD,KTNX,37.799,-116.781,5549,America/Los_Angeles,A
